Start experiments on cifar10 at level=7 with {'e_lr': 0.001, 'e_dis_lr': 2e-05, 'lambda1': 0.02, 'd_lr': 0.0005, 'd_dis_lr': 1e-08, 'lambda2': 2e-05}
[7899]: fg_loss: 0.0479, e_total_loss: 0.0959, e_dis_loss: 0.0000, d_total_loss: 0.0177, d_dis_loss: 0.0000, attack_loss: 0.0709
[7999]: fg_loss: 0.0459, e_total_loss: 0.0786, e_dis_loss: 0.0000, d_total_loss: 0.0178, d_dis_loss: 0.0000, attack_loss: 0.0689
[8099]: fg_loss: 0.0494, e_total_loss: 0.0724, e_dis_loss: 0.0000, d_total_loss: 0.0176, d_dis_loss: 0.0000, attack_loss: 0.0713
[8199]: fg_loss: 0.0549, e_total_loss: 0.0816, e_dis_loss: 0.0000, d_total_loss: 0.0176, d_dis_loss: 0.0000, attack_loss: 0.0672
[8299]: fg_loss: 0.0597, e_total_loss: 0.0914, e_dis_loss: 0.0000, d_total_loss: 0.0177, d_dis_loss: 0.0000, attack_loss: 0.0682
[8399]: fg_loss: 0.0507, e_total_loss: 0.1023, e_dis_loss: 0.0000, d_total_loss: 0.0175, d_dis_loss: 0.0000, attack_loss: 0.0684
[8499]: fg_loss: 0.0669, e_total_loss: 0.0916, e_dis_loss: 0.0000, d_total_loss: 0.0171, d_dis_loss: 0.0000, attack_loss: 0.0681
[8599]: fg_loss: 0.0527, e_total_loss: 0.0889, e_dis_loss: 0.0000, d_total_loss: 0.0175, d_dis_loss: 0.0000, attack_loss: 0.0672
[8699]: fg_loss: 0.0570, e_total_loss: 0.0680, e_dis_loss: 0.0000, d_total_loss: 0.0177, d_dis_loss: 0.0000, attack_loss: 0.0656
[8799]: fg_loss: 0.0442, e_total_loss: 0.0822, e_dis_loss: 0.0000, d_total_loss: 0.0176, d_dis_loss: 0.0000, attack_loss: 0.0664
[8899]: fg_loss: 0.0423, e_total_loss: 0.0790, e_dis_loss: 0.0000, d_total_loss: 0.0178, d_dis_loss: 0.0000, attack_loss: 0.0670
[8999]: fg_loss: 0.0474, e_total_loss: 0.0872, e_dis_loss: 0.0000, d_total_loss: 0.0174, d_dis_loss: 0.0000, attack_loss: 0.0693
[9099]: fg_loss: 0.0532, e_total_loss: 0.0782, e_dis_loss: 0.0000, d_total_loss: 0.0175, d_dis_loss: 0.0000, attack_loss: 0.0721
[9199]: fg_loss: 0.0478, e_total_loss: 0.0644, e_dis_loss: 0.0000, d_total_loss: 0.0174, d_dis_loss: 0.0000, attack_loss: 0.0691
[9299]: fg_loss: 0.0398, e_total_loss: 0.0696, e_dis_loss: 0.0000, d_total_loss: 0.0177, d_dis_loss: 0.0000, attack_loss: 0.0708
[9399]: fg_loss: 0.0505, e_total_loss: 0.0850, e_dis_loss: 0.0000, d_total_loss: 0.0179, d_dis_loss: 0.0000, attack_loss: 0.0702
[9499]: fg_loss: 0.0470, e_total_loss: 0.0749, e_dis_loss: 0.0000, d_total_loss: 0.0173, d_dis_loss: 0.0000, attack_loss: 0.0714
[9599]: fg_loss: 0.0393, e_total_loss: 0.0622, e_dis_loss: 0.0000, d_total_loss: 0.0177, d_dis_loss: 0.0000, attack_loss: 0.0703
[9699]: fg_loss: 0.0333, e_total_loss: 0.0614, e_dis_loss: 0.0000, d_total_loss: 0.0176, d_dis_loss: 0.0000, attack_loss: 0.0678
[9799]: fg_loss: 0.0383, e_total_loss: 0.0626, e_dis_loss: 0.0000, d_total_loss: 0.0174, d_dis_loss: 0.0000, attack_loss: 0.0709
[9899]: fg_loss: 0.0385, e_total_loss: 0.0707, e_dis_loss: 0.0000, d_total_loss: 0.0175, d_dis_loss: 0.0000, attack_loss: 0.0719
[9999]: fg_loss: 0.0375, e_total_loss: 0.0569, e_dis_loss: 0.0000, d_total_loss: 0.0173, d_dis_loss: 0.0000, attack_loss: 0.0732
