Start experiments on cifar10 at level=7 with {'e_lr': 0.001, 'e_dis_lr': 2e-05, 'lambda1': 0.02, 'd_lr': 0.0005, 'd_dis_lr': 1e-08, 'lambda2': 2e-05}
[8699]: fg_loss: 0.0437, e_total_loss: 0.0737, e_dis_loss: 0.0000, d_total_loss: 0.0148, d_dis_loss: 0.0000, attack_loss: 0.0726
[8799]: fg_loss: 0.0413, e_total_loss: 0.0610, e_dis_loss: 0.0000, d_total_loss: 0.0146, d_dis_loss: 0.0000, attack_loss: 0.0700
[8899]: fg_loss: 0.0474, e_total_loss: 0.0710, e_dis_loss: 0.0000, d_total_loss: 0.0149, d_dis_loss: 0.0000, attack_loss: 0.0714
[8999]: fg_loss: 0.0651, e_total_loss: 0.0854, e_dis_loss: 0.0000, d_total_loss: 0.0148, d_dis_loss: 0.0000, attack_loss: 0.0698
[9099]: fg_loss: 0.0706, e_total_loss: 0.1118, e_dis_loss: 0.0000, d_total_loss: 0.0153, d_dis_loss: 0.0000, attack_loss: 0.0716
[9199]: fg_loss: 0.0519, e_total_loss: 0.0941, e_dis_loss: 0.0000, d_total_loss: 0.0148, d_dis_loss: 0.0000, attack_loss: 0.0713
[9299]: fg_loss: 0.0394, e_total_loss: 0.0768, e_dis_loss: 0.0000, d_total_loss: 0.0148, d_dis_loss: 0.0000, attack_loss: 0.0684
[9399]: fg_loss: 0.0402, e_total_loss: 0.0761, e_dis_loss: 0.0000, d_total_loss: 0.0146, d_dis_loss: 0.0000, attack_loss: 0.0692
[9499]: fg_loss: 0.0389, e_total_loss: 0.0682, e_dis_loss: 0.0000, d_total_loss: 0.0148, d_dis_loss: 0.0000, attack_loss: 0.0708
[9599]: fg_loss: 0.0378, e_total_loss: 0.0669, e_dis_loss: 0.0000, d_total_loss: 0.0147, d_dis_loss: 0.0000, attack_loss: 0.0701
[9699]: fg_loss: 0.0467, e_total_loss: 0.0684, e_dis_loss: 0.0000, d_total_loss: 0.0148, d_dis_loss: 0.0000, attack_loss: 0.0701
[9799]: fg_loss: 0.0599, e_total_loss: 0.1038, e_dis_loss: 0.0000, d_total_loss: 0.0149, d_dis_loss: 0.0000, attack_loss: 0.0695
[9899]: fg_loss: 0.0443, e_total_loss: 0.0915, e_dis_loss: 0.0000, d_total_loss: 0.0149, d_dis_loss: 0.0000, attack_loss: 0.0684
