Start experiments on cifar10 at level=7 with {'e_lr': 0.001, 'e_dis_lr': 2e-05, 'lambda1': 0.02, 'd_lr': 0.0005, 'd_dis_lr': 1e-08, 'lambda2': 2e-05}
[7099]: fg_loss: 0.0614, e_total_loss: 0.3425, e_dis_loss: 0.1630, d_total_loss: 0.0209, d_dis_loss: 0.0000, attack_loss: 0.0311
[7199]: fg_loss: 0.0608, e_total_loss: 0.3575, e_dis_loss: 0.1435, d_total_loss: 0.0211, d_dis_loss: 0.0000, attack_loss: 0.0321
[7299]: fg_loss: 0.0649, e_total_loss: 0.3650, e_dis_loss: 0.1446, d_total_loss: 0.0206, d_dis_loss: 0.0000, attack_loss: 0.0324
[7399]: fg_loss: 0.0546, e_total_loss: 0.3534, e_dis_loss: 0.1526, d_total_loss: 0.0208, d_dis_loss: 0.0000, attack_loss: 0.0314
[7499]: fg_loss: 0.0567, e_total_loss: 0.3361, e_dis_loss: 0.1569, d_total_loss: 0.0207, d_dis_loss: 0.0000, attack_loss: 0.0314
[7599]: fg_loss: 0.0604, e_total_loss: 0.3685, e_dis_loss: 0.1580, d_total_loss: 0.0210, d_dis_loss: 0.0000, attack_loss: 0.0311
[7699]: fg_loss: 0.0725, e_total_loss: 0.3596, e_dis_loss: 0.1429, d_total_loss: 0.0208, d_dis_loss: 0.0000, attack_loss: 0.0300
[7799]: fg_loss: 0.0665, e_total_loss: 0.3665, e_dis_loss: 0.1350, d_total_loss: 0.0201, d_dis_loss: 0.0000, attack_loss: 0.0324
[7899]: fg_loss: 0.0647, e_total_loss: 0.3386, e_dis_loss: 0.1533, d_total_loss: 0.0207, d_dis_loss: 0.0000, attack_loss: 0.0336
[7999]: fg_loss: 0.0572, e_total_loss: 0.3177, e_dis_loss: 0.1865, d_total_loss: 0.0202, d_dis_loss: 0.0000, attack_loss: 0.0309
[8099]: fg_loss: 0.0476, e_total_loss: 0.3202, e_dis_loss: 0.1900, d_total_loss: 0.0205, d_dis_loss: 0.0000, attack_loss: 0.0304
[8199]: fg_loss: 0.0319, e_total_loss: 0.3016, e_dis_loss: 0.1695, d_total_loss: 0.0203, d_dis_loss: 0.0000, attack_loss: 0.0315
[8299]: fg_loss: 0.0307, e_total_loss: 0.2944, e_dis_loss: 0.1797, d_total_loss: 0.0204, d_dis_loss: 0.0000, attack_loss: 0.0316
[8399]: fg_loss: 0.0345, e_total_loss: 0.2965, e_dis_loss: 0.1879, d_total_loss: 0.0211, d_dis_loss: 0.0000, attack_loss: 0.0303
[8499]: fg_loss: 0.0434, e_total_loss: 0.3013, e_dis_loss: 0.1650, d_total_loss: 0.0203, d_dis_loss: 0.0000, attack_loss: 0.0296
[8599]: fg_loss: 0.0599, e_total_loss: 0.3217, e_dis_loss: 0.1645, d_total_loss: 0.0206, d_dis_loss: 0.0000, attack_loss: 0.0310
[8699]: fg_loss: 0.0694, e_total_loss: 0.3401, e_dis_loss: 0.1921, d_total_loss: 0.0205, d_dis_loss: 0.0000, attack_loss: 0.0292
[8799]: fg_loss: 0.0507, e_total_loss: 0.3287, e_dis_loss: 0.1651, d_total_loss: 0.0206, d_dis_loss: 0.0000, attack_loss: 0.0298
[8899]: fg_loss: 0.0496, e_total_loss: 0.2969, e_dis_loss: 0.1993, d_total_loss: 0.0206, d_dis_loss: 0.0000, attack_loss: 0.0297
[8999]: fg_loss: 0.0552, e_total_loss: 0.3224, e_dis_loss: 0.2279, d_total_loss: 0.0210, d_dis_loss: 0.0000, attack_loss: 0.0296
[9099]: fg_loss: 0.0496, e_total_loss: 0.3102, e_dis_loss: 0.1829, d_total_loss: 0.0209, d_dis_loss: 0.0000, attack_loss: 0.0292
[9199]: fg_loss: 0.0482, e_total_loss: 0.3048, e_dis_loss: 0.1914, d_total_loss: 0.0209, d_dis_loss: 0.0000, attack_loss: 0.0296
[9299]: fg_loss: 0.0492, e_total_loss: 0.3120, e_dis_loss: 0.1872, d_total_loss: 0.0206, d_dis_loss: 0.0000, attack_loss: 0.0302
[9399]: fg_loss: 0.0486, e_total_loss: 0.2799, e_dis_loss: 0.2085, d_total_loss: 0.0199, d_dis_loss: 0.0000, attack_loss: 0.0315
[9499]: fg_loss: 0.0477, e_total_loss: 0.2768, e_dis_loss: 0.2242, d_total_loss: 0.0205, d_dis_loss: 0.0000, attack_loss: 0.0299
[9599]: fg_loss: 0.0394, e_total_loss: 0.2967, e_dis_loss: 0.2059, d_total_loss: 0.0204, d_dis_loss: 0.0000, attack_loss: 0.0297
[9699]: fg_loss: 0.0472, e_total_loss: 0.2858, e_dis_loss: 0.1982, d_total_loss: 0.0204, d_dis_loss: 0.0000, attack_loss: 0.0323
[9799]: fg_loss: 0.0497, e_total_loss: 0.3041, e_dis_loss: 0.2372, d_total_loss: 0.0210, d_dis_loss: 0.0000, attack_loss: 0.0300
[9899]: fg_loss: 0.0427, e_total_loss: 0.2702, e_dis_loss: 0.2093, d_total_loss: 0.0210, d_dis_loss: 0.0000, attack_loss: 0.0311
[9999]: fg_loss: 0.0356, e_total_loss: 0.2684, e_dis_loss: 0.2099, d_total_loss: 0.0208, d_dis_loss: 0.0000, attack_loss: 0.0317
[10099]: fg_loss: 0.0435, e_total_loss: 0.2761, e_dis_loss: 0.2074, d_total_loss: 0.0207, d_dis_loss: 0.0000, attack_loss: 0.0309
[10199]: fg_loss: 0.0432, e_total_loss: 0.2787, e_dis_loss: 0.2258, d_total_loss: 0.0206, d_dis_loss: 0.0000, attack_loss: 0.0308
[10299]: fg_loss: 0.0373, e_total_loss: 0.2705, e_dis_loss: 0.2693, d_total_loss: 0.0204, d_dis_loss: 0.0000, attack_loss: 0.0295
